cwt_data,label,stft_data
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_0.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_0.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_1.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_1.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_10.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_10.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_100.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_100.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_101.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_101.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_102.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_102.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_103.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_103.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_104.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_104.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_105.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_105.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_106.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_106.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_107.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_107.png
