data,label
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\0.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\1.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\10.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\100.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\101.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\102.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\103.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\104.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\105.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\106.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\107.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\108.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\109.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\11.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\110.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\111.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\112.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\113.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\114.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\115.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\116.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\117.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\118.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\119.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\12.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\120.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\121.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\122.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\123.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\124.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\125.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\126.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\127.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\128.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\129.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\13.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\130.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\131.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\132.txt,0
D:\Study\competition_lerning\YiDongComp\Data_version\training\labeled\0\133.txt,0
